bin valid fake clones missed
55.6 0 4 0 0
55.7 0 0 1 0
55.8 0 3 0 0
55.9 0 1 0 0
56 0 4 0 0
56.1 0 5 0 0
56.2 0 8 0 0
56.3 0 1 0 0
56.4 0 4 0 0
56.6 0 9 0 0
56.7 0 2 0 0
56.8 1 3 0 0
57 0 1 0 0
57.1 1 0 0 0
57.2 0 1 0 0
57.3 0 3 0 0
57.4 0 5 0 0
57.5 0 1 0 0
57.6 0 3 0 0
57.7 1 1 0 0
57.8 0 2 0 0
57.9 0 5 0 0
58 0 2 0 0
58.1 0 2 0 0
58.2 0 6 0 0
58.4 0 1 0 0
58.5 1 5 0 0
58.7 0 2 0 0
58.8 0 2 0 0
58.9 0 1 0 0
59 0 0 0 1
59.1 0 4 0 0
59.2 0 3 0 0
59.3 1 1 0 0
59.6 0 1 0 0
59.7 0 2 0 0
59.8 0 2 0 0
59.9 0 1 0 0
60 0 3 0 0
60.1 1 2 0 0
60.3 0 0 1 0
60.4 0 5 0 0
60.6 0 2 0 0
60.8 1 5 1 0
60.9 1 1 0 0
61 0 1 0 0
61.2 0 1 1 0
61.4 0 1 0 0
61.5 0 3 0 0
61.6 0 4 0 0
61.9 0 4 0 0
62.1 0 3 0 0
62.2 0 1 0 0
62.3 0 3 0 0
62.5 0 2 0 0
62.7 2 2 0 0
62.9 1 1 0 0
63 1 6 0 0
63.1 0 2 0 0
63.2 1 5 0 0
63.4 0 3 0 0
63.5 1 2 0 0
63.6 0 1 0 0
63.7 0 1 0 0
63.8 0 4 0 0
63.9 0 2 0 0
64 0 1 0 0
64.1 0 1 0 0
64.2 0 1 0 0
64.3 0 2 0 0
64.4 1 0 0 0
64.5 0 4 0 0
64.6 0 2 0 0
64.7 0 2 0 0
64.9 0 2 0 0
65 2 0 0 0
65.1 0 2 0 0
65.2 0 2 0 0
65.4 0 2 0 0
65.5 0 2 0 0
65.8 0 2 0 0
65.9 0 1 0 0
66 0 1 0 0
66.1 0 2 0 0
66.2 1 1 1 0
66.3 0 1 0 0
66.4 0 1 0 0
66.5 1 2 0 0
66.7 0 2 0 0
66.8 0 1 0 0
67 0 4 0 0
67.2 0 1 0 0
67.3 1 3 0 0
67.5 1 2 0 0
67.6 0 0 0 1
67.7 2 1 0 0
67.8 0 3 0 0
67.9 0 2 0 0
68 0 1 0 0
68.1 0 1 0 0
68.3 0 1 0 0
68.6 0 3 0 0
68.7 1 3 0 0
69 0 2 0 0
69.1 0 3 0 0
69.2 1 1 0 0
69.3 0 2 0 0
69.5 0 2 0 0
69.8 0 3 0 0
69.9 1 0 0 0
70 0 2 0 0
70.1 1 1 0 0
70.2 0 2 0 0
70.4 0 1 0 0
70.5 0 1 0 0
70.6 0 4 0 0
70.7 0 2 0 0
70.8 0 1 0 0
70.9 0 1 0 0
71.1 0 2 0 0
71.2 0 2 0 0
71.3 1 2 0 0
71.4 0 2 0 0
71.5 1 1 0 0
71.6 0 1 0 0
71.7 0 2 0 0
71.8 0 2 0 0
71.9 0 1 0 0
72 0 1 0 0
72.3 0 3 0 0
72.4 0 4 0 0
72.5 1 0 0 0
72.8 0 3 0 0
73.3 0 3 0 0
73.4 0 0 1 0
73.5 1 1 0 0
73.6 0 6 0 0
73.7 1 2 0 0
73.8 0 1 0 0
73.9 0 1 0 0
74 0 3 0 0
74.1 1 2 0 0
74.3 1 0 0 0
74.7 0 2 0 0
74.8 0 5 0 0
75 0 1 0 0
75.2 1 1 0 0
75.3 0 7 0 0
75.4 1 2 0 0
76 0 1 0 0
76.1 0 1 1 0
76.3 0 3 0 0
76.4 0 2 0 0
76.5 0 2 0 0
76.6 0 1 0 0
76.7 1 4 1 0
77 0 2 0 0
77.2 0 4 0 0
77.6 0 1 0 0
77.7 0 2 0 0
77.8 0 1 0 0
77.9 0 2 0 0
78 0 3 0 0
78.1 0 2 1 0
78.5 0 2 0 0
78.7 0 1 0 0
78.8 0 2 0 0
79 1 1 0 0
79.1 1 0 0 0
79.7 0 1 0 0
80.2 0 3 0 0
80.3 0 3 0 0
80.4 1 1 0 0
80.5 0 1 0 0
80.6 0 1 0 0
80.7 1 1 0 0
81 0 4 0 0
81.1 1 0 0 0
81.2 0 1 0 0
81.4 0 3 0 0
81.5 0 1 0 0
81.6 0 1 0 0
81.7 1 2 0 0
81.8 2 1 0 0
81.9 0 3 0 0
82 0 1 0 0
82.2 0 1 0 0
82.5 0 1 0 0
82.6 0 1 0 0
83 0 2 0 0
83.1 1 3 0 0
83.2 0 1 1 0
83.3 0 4 0 0
83.7 0 1 0 0
84.1 0 1 0 0
84.3 0 0 0 1
84.4 0 2 0 0
84.5 1 0 0 0
84.6 0 1 0 0
84.7 1 0 0 0
84.8 0 2 0 0
84.9 0 3 0 0
85.1 0 2 0 0
85.2 0 1 0 0
85.4 1 0 0 0
85.5 0 1 0 0
85.6 0 3 0 0
85.7 0 2 0 0
85.8 0 1 0 0
86.1 0 2 0 0
86.2 0 2 0 0
86.3 0 5 0 0
86.5 0 1 0 0
86.7 0 1 0 0
87 1 0 0 0
87.1 1 0 0 0
87.4 0 1 0 0
87.8 0 1 0 0
87.9 0 3 0 0
88 1 2 0 0
88.1 1 0 0 0
88.2 0 1 0 0
88.3 0 2 0 0
88.5 0 1 0 0
88.6 0 1 0 0
88.7 0 2 0 0
88.8 1 1 0 0
88.9 0 1 0 0
89 0 1 0 0
89.2 0 1 0 0
89.3 0 4 0 0
89.5 0 3 0 0
89.6 0 2 0 0
89.7 1 0 0 0
89.9 2 0 0 0
90.1 0 1 0 0
90.3 0 2 0 0
90.7 0 1 0 0
91 0 1 0 0
91.1 0 3 0 0
91.2 0 1 0 0
91.4 0 1 0 0
91.5 0 2 0 0
91.6 0 2 0 0
91.7 0 4 0 0
91.8 0 2 0 0
92 0 0 1 0
92.1 0 1 0 0
92.2 0 2 0 0
92.4 0 2 0 0
92.6 0 2 0 0
92.7 1 0 0 0
93 1 0 0 0
93.2 0 2 0 0
93.3 0 3 0 0
93.4 1 1 0 0
93.9 0 1 0 0
94.1 0 3 0 0
94.3 1 0 0 0
94.4 0 1 1 0
94.6 1 0 0 0
94.9 0 1 0 0
95 0 1 0 0
95.4 0 2 0 0
95.6 0 1 0 0
95.7 0 1 0 0
96.2 1 2 0 0
96.5 0 1 0 0
96.6 0 2 0 0
96.7 0 2 0 0
97 0 1 0 0
97.1 0 1 0 0
97.2 0 3 0 0
97.5 0 2 0 0
97.8 0 1 0 0
98 0 1 0 0
98.2 0 1 0 0
98.3 1 0 0 0
98.4 0 2 0 0
98.6 0 1 0 0
98.7 0 1 0 0
98.9 0 2 0 0
99 1 1 0 0
99.2 0 2 0 0
99.4 1 0 0 0
99.5 0 1 0 0
99.6 0 1 0 0
99.8 1 1 0 0
99.9 0 1 0 0
100.1 0 2 0 0
100.3 0 3 0 0
100.5 0 2 0 0
100.7 0 1 0 0
100.8 0 2 0 0
100.9 0 2 0 0
101 0 1 0 0
101.1 0 1 0 0
101.2 0 3 0 0
101.5 0 1 0 0
101.6 0 1 0 0
101.8 0 1 0 0
102.5 0 1 0 0
102.6 0 3 0 0
102.7 0 2 0 0
102.8 0 2 0 0
102.9 0 2 0 0
103.5 0 2 0 0
103.6 1 0 0 0
104 0 3 0 0
104.5 0 2 0 0
104.6 0 1 0 0
104.7 1 0 0 0
105 0 2 0 0
105.3 0 1 0 0
105.4 0 1 0 0
105.8 1 1 0 0
105.9 1 2 0 0
106 0 2 0 0
